diff,group,variable,MOM6-CICE6_1deg_jra55do_ryf/ice_in,MOM6-CICE6_1deg_jra55do_iaf/ice_in,MOM6-CICE6_025deg_jra55do_ryf/ice_in
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_atmspd"", ""f_atmspd"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_bounds"", ""f_bounds"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_congel"", ""f_congel"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_coszen"", ""f_coszen"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dsnow"", ""f_dsnow"")",x,x,x
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dvidtd"", ""f_dvidtd"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dvidtt"", ""f_dvidtt"")",md,md,md
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dxe"", ""f_dxe"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dxn"", ""f_dxn"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dxt"", ""f_dxt"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dxu"", ""f_dxu"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dye"", ""f_dye"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dyn"", ""f_dyn"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dyt"", ""f_dyt"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_dyu"", ""f_dyu"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_earea"", ""f_earea"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_elat"", ""f_elat"")",False,False,False
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=icefields_nml"", ""&icefields_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=f_elon"", ""f_elon"")",False,False,False
