diff,group,variable,ACCESS-OM2_1deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_025deg_jra55_ryf/ocean/input.nml,ACCESS-OM2_01deg_jra55_ryf/ocean/input.nml
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_scaling"", ""agm_closure_scaling"")",0.07,0.07,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=agm_closure_upper_depth"", ""agm_closure_upper_depth"")",100.0,100.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=aredi"", ""aredi"")",600.0,200.0,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=aredi_diffusivity_grid_scaling"", ""aredi_diffusivity_grid_scaling"")",,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=aredi_equal_agm"", ""aredi_equal_agm"")",False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=drhodz_mom4p1"", ""drhodz_mom4p1"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysics_util_nml"", ""&ocean_nphysics_util_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=nphysics_util_zero_init"", ""nphysics_util_zero_init"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bv_freq_smooth_vert"", ""bv_freq_smooth_vert"")",True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bvp_bc_mode"", ""bvp_bc_mode"")",2,2,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_nphysicsc_nml"", ""&ocean_nphysicsc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bvp_min_speed"", ""bvp_min_speed"")",0.1,0.1,
