diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ocean/input.nml,ACCESS-OM2_release-01deg_jra55_ryf/ocean/input.nml
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=cdbot_hi"", ""cdbot_hi"")",0.007,0.007
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=cdbot_roughness_length"", ""cdbot_roughness_length"")",False,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=cdbot_roughness_uamp"", ""cdbot_roughness_uamp"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=uresidual"", ""uresidual"")",0.05,0.05
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bbc_nml"", ""&ocean_bbc_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_geothermal_heating"", ""use_geothermal_heating"")",False,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bih_friction_nml"", ""&ocean_bih_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bih_friction_scheme"", ""bih_friction_scheme"")",general,general
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bih_tracer_nml"", ""&ocean_bih_tracer_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihcst_friction_nml"", ""&ocean_bihcst_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=bottom_5point"", ""bottom_5point"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eq_lat_micom"", ""eq_lat_micom"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eq_vel_micom_aniso"", ""eq_vel_micom_aniso"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eq_vel_micom_iso"", ""eq_vel_micom_iso"")",0.0,0.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_bihgen_friction_nml"", ""&ocean_bihgen_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=equatorial_zonal"", ""equatorial_zonal"")",False,False
