diff,group,group link,variable,variable link,configs/MOM6-examples/ocean_only/global/MOM_input,configs/mom6-om4-025/MOM_input,configs/mom6-panan/MOM_input,configs/mom6-eac/MOM_input,configs/MOM6-CICE6_1deg_jra55do_ryf/MOM_input
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dtbt,https://github.com/mom-ocean/MOM6/search?q=dtbt,-0.95,-0.9,-0.9,-0.9,-0.95
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dtbt_reset_period,https://github.com/mom-ocean/MOM6/search?q=dtbt_reset_period,0.0,,,,0.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dtfreeze_dp,https://github.com/mom-ocean/MOM6/search?q=dtfreeze_dp,,-7.75e-08,,,-7.75e-08
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dynamic_surface_pressure,https://github.com/mom-ocean/MOM6/search?q=dynamic_surface_pressure,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",dynamic_viscous_ml,https://github.com/mom-ocean/MOM6/search?q=dynamic_viscous_ml,True,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",energetics_sfc_pbl,https://github.com/mom-ocean/MOM6/search?q=energetics_sfc_pbl,,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",energysavedays,https://github.com/mom-ocean/MOM6/search?q=energysavedays,0.5,0.25,1.0,1.0,1.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",enthalpy_from_coupler,https://github.com/mom-ocean/MOM6/search?q=enthalpy_from_coupler,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",epbl_is_additive,https://github.com/mom-ocean/MOM6/search?q=epbl_is_additive,,False,False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",epbl_langmuir_scheme,https://github.com/mom-ocean/MOM6/search?q=epbl_langmuir_scheme,,ADDITIVE,ADDITIVE,ADDITIVE,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",epbl_mstar_scheme,https://github.com/mom-ocean/MOM6/search?q=epbl_mstar_scheme,,OM4,OM4,OM4,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",epbl_transition_scale,https://github.com/mom-ocean/MOM6/search?q=epbl_transition_scale,,0.01,0.01,0.01,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",eqn_of_state,https://github.com/mom-ocean/MOM6/search?q=eqn_of_state,,,,,WRIGHT
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",eta_tolerance,https://github.com/mom-ocean/MOM6/search?q=eta_tolerance,1e-06,1e-06,1e-06,1e-06,1e-06
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",eta_tolerance_aux,https://github.com/mom-ocean/MOM6/search?q=eta_tolerance_aux,,0.001,0.001,0.001,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",evaporation_file,https://github.com/mom-ocean/MOM6/search?q=evaporation_file,ocean_forcing_daily.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",fgnv_c_min,https://github.com/mom-ocean/MOM6/search?q=fgnv_c_min,,,,,0.01
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",fix_ustar_gustless_bug,https://github.com/mom-ocean/MOM6/search?q=fix_ustar_gustless_bug,,False,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",fluxconst,https://github.com/mom-ocean/MOM6/search?q=fluxconst,0.5,,,,0.11
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",fox_kemper_ml_restrat_coef,https://github.com/mom-ocean/MOM6/search?q=fox_kemper_ml_restrat_coef,20.0,1.0,1.0,1.0,1.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",frazil,https://github.com/mom-ocean/MOM6/search?q=frazil,True,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",geothermal_file,https://github.com/mom-ocean/MOM6/search?q=geothermal_file,geothermal_heating_cm2g.nc,geothermal_davies2013_v1.nc,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",geothermal_scale,https://github.com/mom-ocean/MOM6/search?q=geothermal_scale,0.001,1.0,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",geothermal_varname,https://github.com/mom-ocean/MOM6/search?q=geothermal_varname,,geothermal_hf,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",gill_equatorial_ld,https://github.com/mom-ocean/MOM6/search?q=gill_equatorial_ld,,True,,,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",grid_config,https://github.com/mom-ocean/MOM6/search?q=grid_config,mosaic,mosaic,mosaic,mosaic,mosaic
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",grid_file,https://github.com/mom-ocean/MOM6/search?q=grid_file,ocean_hgrid.nc,ocean_hgrid.nc,ocean_hgrid.nc,hgrid_01.nc,ocean_hgrid.nc
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",grid_rotation_angle_bugs,https://github.com/mom-ocean/MOM6/search?q=grid_rotation_angle_bugs,,,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",gust_2d_file,https://github.com/mom-ocean/MOM6/search?q=gust_2d_file,gustiness_qscat.nc,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",gust_const,https://github.com/mom-ocean/MOM6/search?q=gust_const,,0.0,0.0,0.0,0.02
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",h2_file,https://github.com/mom-ocean/MOM6/search?q=h2_file,sgs_h2.nc,ocean_topog.nc,,,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",hbbl,https://github.com/mom-ocean/MOM6/search?q=hbbl,10.0,10.0,10.0,10.0,10.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",hbd_linear_transition,https://github.com/mom-ocean/MOM6/search?q=hbd_linear_transition,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",henyey_igw_background,https://github.com/mom-ocean/MOM6/search?q=henyey_igw_background,True,True,True,True,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",hfreeze,https://github.com/mom-ocean/MOM6/search?q=hfreeze,,,,,10.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",hmix_fixed,https://github.com/mom-ocean/MOM6/search?q=hmix_fixed,,0.5,0.5,0.5,0.5
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",hmix_min,https://github.com/mom-ocean/MOM6/search?q=hmix_min,2.0,,,,2.0
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",horiz_varying_background,https://github.com/mom-ocean/MOM6/search?q=horiz_varying_background,,,,,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",ic_output_file,https://github.com/mom-ocean/MOM6/search?q=ic_output_file,GOLD_IC,,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",init_layers_from_z_file,https://github.com/mom-ocean/MOM6/search?q=init_layers_from_z_file,,True,True,True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",inputdir,https://github.com/mom-ocean/MOM6/search?q=inputdir,INPUT,INPUT,INPUT,INPUT,./input/
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",int_tide_decay_scale,https://github.com/mom-ocean/MOM6/search?q=int_tide_decay_scale,300.0,300.3003003003003,,,300.3003003003003
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",int_tide_dissipation,https://github.com/mom-ocean/MOM6/search?q=int_tide_dissipation,True,True,False,False,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",int_tide_profile,https://github.com/mom-ocean/MOM6/search?q=int_tide_profile,,POLZIN_09,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",interp_type2,https://github.com/mom-ocean/MOM6/search?q=interp_type2,,,,,LMD94
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",interpolate_res_fn,https://github.com/mom-ocean/MOM6/search?q=interpolate_res_fn,,False,,,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",io_layout,https://github.com/mom-ocean/MOM6/search?q=io_layout,,,"[1, 1]","[1, 1]",
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_h2_factor,https://github.com/mom-ocean/MOM6/search?q=kappa_h2_factor,0.75,0.84,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_itides,https://github.com/mom-ocean/MOM6/search?q=kappa_itides,0.000628319,0.000628319,,,
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM6/search?q=mom6"", ""&mom6"")",kappa_shear_all_layer_tke_bug,https://github.com/mom-ocean/MOM6/search?q=kappa_shear_all_layer_tke_bug,,True,,,False
